frag_6349	-22.45 -16.66 -17.72
frag_3594	-11.36 -6.81 -9.88
frag_5987	38.48 41.47 37.49
frag_7141	-26.49 -24.82 -24.74
frag_2868	-13.85 -16.42 -14.93
frag_6909	-10.31 -6.54 -8.97
frag_5266	14.43 12.76 10.14
frag_2754	5.35 7.74 6.86
frag_5985	25.04 28.77 26.07
frag_5518	15.50 15.55 13.62
frag_3942	-1.38 0.94 0.39
frag_1583	34.59 33.50 33.67
frag_0559	2.28 6.42 4.90
frag_2377	-4.93 -3.56 -4.70
frag_3534	19.98 22.81 22.41
frag_1281	-22.54 -21.55 -23.08
frag_5298	-47.58 -41.13 -41.70
frag_3339	-11.06 -11.86 -12.24
frag_1844	-16.58 -16.81 -17.06
frag_1478	-2.25 0.61 -2.09
frag_4761	7.06 5.79 7.81
frag_7170	-25.38 -24.71 -24.26
frag_1389	13.16 18.31 16.52
frag_6533	-47.21 -44.39 -44.12
frag_4594	30.59 27.83 28.09
frag_0767	8.21 10.18 10.55
frag_3994	16.99 17.45 17.49
frag_0671	4.84 1.65 3.64
frag_0759	-3.04 0.70 -0.17
frag_4418	-10.43 -11.14 -10.50
frag_3204	-16.26 -18.08 -17.78
frag_1256	19.98 18.05 19.02
frag_3320	-0.10 -1.09 -1.72
frag_0388	12.30 12.59 13.51
frag_5041	-24.26 -18.86 -20.00
frag_1723	-20.80 -24.70 -22.41
frag_3604	-18.93 -13.50 -15.83
frag_2708	5.67 6.40 6.41
frag_2742	1.17 3.75 1.59
frag_5815	-34.05 -32.04 -30.60
frag_2218	7.28 6.13 4.89
frag_1140	-12.99 -10.17 -10.35
frag_4078	7.15 5.75 6.85
frag_1235	22.70 15.09 15.91
frag_5373	-29.51 -28.10 -26.58
frag_0076	-1.12 5.32 2.24
frag_5841	-0.33 1.19 -0.23
frag_2733	5.20 9.44 8.88
frag_1959	-5.98 -10.20 -5.40
frag_3200	-3.77 -10.56 -8.89
frag_1148	19.22 12.38 15.50
frag_0727	36.73 37.39 37.93
frag_1018	-25.99 -25.03 -24.57
frag_6062	35.57 29.30 28.78
frag_0745	-11.70 -8.67 -10.31
frag_4272	12.38 6.18 7.58
frag_2105	-3.09 1.09 -1.04
frag_3918	-6.53 -5.18 -4.92
frag_0892	-31.66 -31.51 -31.18
frag_0459	-15.00 -9.12 -10.53
frag_6253	26.58 20.89 24.21
frag_2832	15.31 7.75 9.62
frag_2835	10.29 6.00 7.49
frag_2121	1.14 -0.40 1.38
frag_2161	-6.73 -2.66 -3.76
frag_3612	-10.33 -9.82 -10.19
frag_4477	21.45 27.32 26.59
frag_6659	-29.02 -33.98 -32.31
frag_4378	-28.99 -31.28 -28.91
frag_3407	-18.63 -24.64 -21.60
frag_1902	-26.09 -24.20 -24.10
frag_1429	-13.64 -14.70 -15.14
frag_5522	11.32 8.88 10.16
frag_1934	-2.15 -5.27 -4.26
frag_4737	-52.51 -52.00 -48.68
frag_1532	42.92 30.00 32.55
frag_5517	30.82 31.09 27.68
frag_3030	13.17 16.84 16.12
frag_1836	-33.09 -37.45 -33.71
frag_6704	-29.04 -24.56 -25.59
frag_4009	-8.55 -6.01 -7.05
frag_6777	-30.52 -27.39 -27.57
frag_3288	-11.88 -10.68 -12.04
frag_3966	11.84 13.85 13.36
frag_4882	19.30 2.43 3.76
frag_2496	-3.89 -0.49 -1.89
frag_6832	18.71 17.23 14.33
frag_0125	9.26 15.72 13.56
frag_3696	-16.53 -20.65 -19.55
frag_0846	-25.96 -21.12 -22.31
frag_6001	-10.10 -9.66 -8.52
frag_2546	-21.99 -20.66 -19.84
frag_3181	0.56 -2.53 -0.42
frag_7197	39.87 33.48 36.36
frag_4238	-7.06 -0.31 -2.96
frag_6828	7.41 6.41 5.34
frag_2737	5.72 7.33 7.10
frag_6827	8.99 7.47 4.80
frag_5825	28.81 28.06 25.59
frag_0604	-14.38 -14.82 -13.83
frag_1469	13.99 18.58 17.33
frag_2140	-8.81 -12.61 -11.76
frag_1577	4.72 2.16 0.74
frag_4113	5.11 3.81 3.86
frag_1301	-20.50 -22.85 -22.78
frag_0568	-17.29 -11.78 -11.51
frag_1214	-3.71 -8.09 -6.38
frag_7083	-22.08 -19.70 -19.89
frag_5450	16.18 16.71 15.48
frag_5456	-7.13 -6.12 -6.50
frag_6797	-45.56 -42.35 -40.74
frag_6962	58.63 50.59 52.33
frag_4666	-9.84 -10.81 -10.46
frag_3049	63.38 60.68 61.48
frag_5902	26.32 25.35 22.53
frag_5134	4.28 3.49 3.45
frag_4560	43.09 35.62 35.45
frag_2201	15.89 20.74 21.07
frag_1280	-13.60 -11.68 -13.73
frag_1217	-1.03 -8.55 -6.42
frag_3718	-31.93 -32.58 -32.28
frag_6085	-12.58 -13.15 -12.68
frag_3654	1.33 5.13 4.89
frag_2152	14.97 18.98 18.93
frag_6283	-31.70 -33.26 -32.41
frag_4919	22.88 20.96 17.83
frag_1660	27.20 26.91 25.92
frag_3681	-21.36 -25.64 -25.11
frag_1640	2.79 -1.77 0.30
frag_6305	-19.44 -17.24 -15.43
frag_2470	2.68 4.14 2.04
frag_4901	1.22 0.78 0.79
frag_2887	28.72 29.56 31.43
frag_4823	12.66 11.41 10.13
frag_5614	-39.07 -40.30 -38.67
frag_4879	15.48 14.72 12.07
frag_4388	-10.47 -11.02 -10.36
frag_0084	-4.96 -0.88 -2.43
frag_4509	8.24 13.85 11.48
frag_4111	1.47 3.58 1.89
frag_0164	14.18 21.11 17.64
frag_7062	47.35 42.27 43.44
frag_5249	19.35 22.71 19.94
frag_2825	17.76 13.36 16.29
frag_3639	-5.30 -6.60 -6.83
frag_6096	-19.39 -24.08 -18.94
frag_2221	13.51 14.75 11.92
frag_6631	11.38 9.05 5.63
frag_6018	26.44 27.05 22.72
frag_0806	-8.81 -11.79 -10.27
frag_5115	-2.17 -4.10 -3.36
frag_3347	-8.93 -4.42 -7.07
frag_1041	-4.52 0.08 -1.23
frag_6990	-21.40 -20.91 -22.77
frag_3058	29.94 15.38 18.41
frag_3760	-4.36 -2.79 -4.07
frag_2798	18.79 23.53 19.89
frag_1759	-15.77 -14.82 -15.52
frag_0631	24.39 30.64 31.26
frag_0258	8.48 10.54 9.92
frag_0574	-3.04 0.18 -0.32
frag_1336	15.53 15.75 17.94
frag_1691	-11.69 -12.17 -12.20
frag_0831	-4.47 -0.63 -1.88
frag_0523	24.21 23.62 21.80
frag_1345	7.85 9.11 7.72
frag_3155	30.13 20.97 21.44
frag_5656	11.19 12.59 11.86
frag_2528	19.60 24.03 23.00
frag_7156	-22.45 -10.19 -12.41
frag_1329	-22.30 -23.46 -23.45
frag_5757	-16.92 -15.98 -15.56
frag_6643	-23.64 -23.35 -22.55
frag_0923	39.38 37.72 39.50
frag_6968	-23.18 -26.02 -27.28
frag_3690	0.14 4.11 4.26
frag_0965	12.44 11.88 12.59
frag_3357	-17.37 -17.26 -17.52
frag_5976	-1.36 4.35 3.34
frag_6971	-4.87 -3.33 -6.12
frag_2416	26.33 24.07 22.66
frag_2816	1.27 -7.89 -5.02
frag_3501	-10.59 -10.90 -11.62
frag_6624	-22.28 -27.17 -22.45
frag_0249	-13.89 -10.96 -12.77
frag_6277	-5.38 -1.39 0.96
frag_5306	4.81 7.05 2.87
frag_3790	-14.11 -10.97 -13.43
frag_5312	10.19 12.17 7.51
frag_0090	-19.85 -23.20 -19.55
frag_5975	3.74 6.55 6.62
frag_2172	-5.39 -3.75 -4.38
frag_2507	-7.71 -13.64 -12.13
frag_5709	29.36 29.67 27.10
frag_6986	-22.42 -25.80 -25.01
frag_4788	9.78 6.03 3.84
frag_0011	-14.75 -11.16 -10.90
frag_5035	40.82 39.24 37.93
frag_5925	0.61 2.51 2.35
frag_0643	26.15 26.35 25.83
frag_0474	-4.55 -1.92 -2.19
frag_4544	-31.80 -29.55 -29.83
frag_4618	27.39 18.95 18.50
frag_4030	-18.92 -17.00 -18.00
frag_0813	-7.13 -7.91 -6.66
frag_5530	-6.48 -10.62 -9.00
frag_6159	-8.91 -7.02 -5.69
frag_0608	-2.56 -0.74 -0.37
frag_4157	19.52 22.68 22.53
frag_1506	12.94 14.74 14.16
frag_2731	-1.73 -0.28 -0.17
frag_4410	-7.78 -6.62 -7.03
frag_1173	-17.98 -29.03 -24.49
frag_1006	-19.69 -14.06 -14.96
frag_6867	55.04 55.82 54.30
frag_7097	88.18 84.51 87.32
frag_2401	-20.46 -19.25 -18.47
frag_5962	28.90 30.06 27.15
frag_6862	9.35 8.26 5.94
frag_1231	-14.86 -24.33 -22.26
frag_1115	-28.18 -22.01 -22.55
frag_2736	-2.21 1.93 0.13
frag_0664	12.02 10.80 11.39
frag_7111	72.05 66.34 68.50
frag_4395	-23.82 -23.83 -24.70
frag_0864	-2.29 -0.82 -1.06
frag_6438	31.20 30.40 29.25
frag_5061	-9.40 -15.16 -13.48
frag_0434	-6.71 -6.76 -6.37
frag_2547	25.34 23.98 22.34
frag_5226	0.91 5.32 4.13
frag_0449	-6.10 -7.10 -6.57
frag_2441	4.94 3.10 3.17
frag_6807	-21.88 -24.95 -23.34
frag_3494	-8.93 -6.87 -8.73
frag_2430	7.74 3.85 4.97
frag_2385	-2.17 0.55 0.56
frag_0974	-26.03 -29.65 -27.93
frag_6993	-27.87 -25.06 -26.82
frag_7003	25.55 15.01 15.31
frag_6276	50.13 49.85 48.57
frag_3485	-16.39 -18.18 -18.01
frag_2341	14.06 16.31 14.36
frag_3262	-9.37 -8.62 -10.40
frag_3629	-8.86 -9.14 -9.18
frag_2978	15.38 21.26 20.63
frag_1784	1.58 0.99 -1.16
frag_7211	-45.82 -31.98 -33.90
frag_2316	-6.48 -6.92 -6.22
frag_1179	-8.93 -14.90 -12.60
frag_1801	15.08 4.49 6.00
frag_4411	-14.23 -18.86 -16.15
frag_6929	-45.86 -33.44 -35.18
frag_0870	8.12 11.68 10.98
frag_4766	-10.82 -10.69 -10.22
frag_5332	-15.14 -11.29 -13.12
frag_4988	16.61 15.27 11.46
frag_0220	-3.63 -8.15 -6.11
frag_0692	-22.34 -24.44 -23.65
frag_7022	-33.69 -33.89 -35.33
frag_1126	-37.55 -33.10 -32.70
frag_2877	32.71 33.14 35.42
frag_0441	4.22 6.48 7.45
frag_2848	10.63 7.61 8.58
frag_4146	1.72 5.50 3.24
frag_4600	44.01 28.96 32.62
frag_5970	11.92 15.24 14.34
frag_6712	-17.72 -12.64 -13.07
frag_4342	-35.26 -31.02 -31.92
frag_5627	-23.52 -24.48 -24.80
frag_1204	-4.55 -8.16 -6.55
frag_1605	-2.26 -9.68 -8.37
frag_5652	18.17 18.24 19.92
frag_4295	-4.71 -10.50 -7.71
frag_0695	6.08 3.34 5.35
frag_6779	-27.26 -33.92 -30.66
frag_7034	45.64 44.74 45.09
frag_3290	2.04 -2.84 -0.54
frag_2998	20.20 22.58 23.65
frag_4814	2.55 -1.95 -0.55
frag_2071	6.12 2.85 3.76
frag_1088	58.75 59.25 56.27
frag_3161	0.51 -4.51 -2.10
frag_6312	-27.03 -23.65 -23.41
frag_0147	45.25 45.24 45.82
frag_0590	-14.34 -15.99 -14.93
frag_3250	3.21 3.03 3.07
frag_1307	29.66 31.18 31.40
frag_2081	4.88 7.96 7.72
frag_2588	9.00 3.62 5.42
frag_2634	15.22 13.09 14.71
frag_3650	-14.19 -11.84 -13.72
frag_7191	40.46 38.28 38.92
frag_6180	-8.23 -5.85 -6.36
frag_5452	39.30 35.76 34.61
frag_2469	10.95 9.50 10.41
frag_2330	9.31 8.59 7.26
frag_2681	22.59 21.34 22.13
frag_5737	1.46 1.39 2.26
frag_4759	5.47 2.74 3.94
frag_1012	-2.09 -2.03 -1.11
frag_3358	-12.85 -11.40 -12.56
frag_6794	-2.93 1.26 1.92
frag_2436	7.41 4.74 5.64
frag_0678	-12.22 -10.06 -10.78
frag_2032	2.29 1.44 1.45
frag_6628	-15.68 -23.01 -18.31
frag_5769	-0.98 -2.06 -0.94
frag_5955	-28.32 -22.48 -22.17
frag_6357	7.78 12.06 11.02
frag_2387	9.58 14.15 14.50
frag_6264	16.72 21.24 22.46
frag_0941	4.43 9.13 8.64
frag_1330	-18.46 -19.97 -19.83
frag_3242	-4.74 -9.65 -8.39
frag_4881	-13.44 -17.56 -19.14
frag_1915	-25.10 -30.17 -25.27
frag_1104	-1.56 -1.59 -0.56
frag_2620	2.33 -1.28 0.46
frag_3885	13.43 13.31 14.40
frag_6229	15.35 17.24 16.46
frag_6837	18.13 16.88 14.19
frag_2536	-5.85 -3.67 -3.99
frag_0686	7.10 5.97 5.59
frag_5974	4.76 7.50 7.60
frag_4834	-21.00 -22.31 -20.39
frag_4318	10.68 6.72 7.54
frag_4228	-2.46 -2.19 -2.52
frag_5124	-16.11 -13.15 -12.67
frag_3921	-42.18 -40.76 -40.14
frag_4746	-18.46 -17.85 -17.44
frag_2128	-7.01 -4.77 -5.46
frag_0136	-11.21 -14.76 -13.02
frag_3066	100.01 84.68 86.20
frag_3542	22.39 23.02 25.47
frag_1226	-16.36 -22.45 -21.53
frag_2246	12.24 5.72 7.09
frag_3877	-12.20 -12.24 -12.40
frag_2584	15.57 15.46 16.24
frag_3914	-8.88 -3.77 -5.75
frag_2989	-0.13 5.55 4.58
frag_3039	1.79 -0.17 3.11
frag_0362	-10.17 -10.43 -9.86
frag_2810	-2.84 -12.30 -9.18
frag_3960	21.00 25.83 23.00
frag_1576	10.15 5.45 3.38
frag_2065	36.10 38.35 38.09
frag_2100	-6.40 -7.08 -7.50
frag_2024	26.51 23.68 22.46
frag_1467	5.93 9.99 9.64
frag_0951	14.05 14.79 15.50
frag_2015	8.08 9.04 9.50
frag_6642	-20.58 -20.23 -18.32
frag_0757	0.15 2.67 3.21
frag_2619	-0.12 -1.00 -1.14
frag_1559	-1.10 -4.08 -3.67
frag_5515	19.65 17.28 15.50
frag_3573	59.04 55.64 58.47
frag_0762	-15.15 -12.72 -14.10
frag_6654	5.85 4.95 4.04
frag_0769	-25.50 -23.17 -23.57
frag_4506	-10.59 -6.91 -8.40
frag_1693	-13.80 -15.92 -15.70
frag_4054	-2.01 1.09 0.38
frag_1717	-13.44 -18.83 -17.78
frag_0910	4.98 3.65 4.53
frag_3967	-13.77 -13.42 -12.67
frag_1441	14.90 15.81 15.37
frag_5255	-25.50 -21.64 -20.84
frag_4923	17.69 14.20 11.99
frag_0802	-18.00 -13.28 -14.73
frag_6162	-33.76 -32.19 -31.93
frag_2648	10.88 10.15 10.60
frag_6473	22.26 16.83 17.93
frag_3285	-25.56 -23.52 -25.15
frag_3092	4.25 0.80 0.00
frag_3321	6.36 3.93 6.31
frag_5613	-20.67 -16.53 -16.44
frag_0093	10.71 11.56 11.37
frag_3398	-1.96 -2.84 -2.16
frag_4508	10.32 16.85 14.22
frag_3367	-6.54 -5.17 -6.63
frag_6551	35.87 36.47 37.05
frag_4528	-3.79 -1.89 -2.33
frag_1273	-19.65 -21.87 -22.15
frag_2885	-25.68 -21.73 -22.86
frag_4603	67.85 50.56 50.70
frag_5964	23.54 25.85 25.64
frag_6316	-6.53 -9.86 -8.12
frag_3830	-7.34 -10.82 -9.43
frag_2497	13.89 18.72 18.98
frag_5942	-1.28 0.97 0.84
frag_7129	0.06 -1.11 1.16
frag_6708	-3.23 -4.77 -2.59
frag_0839	-7.55 -9.26 -8.02
frag_3013	4.56 3.04 3.27
frag_7030	-32.04 -18.61 -21.37
frag_1893	4.90 3.15 3.70
frag_6248	-7.99 -6.37 -6.44
frag_2063	36.28 38.63 38.52
